restaurant_id,n_obs,n_products,n_days,r_squared,rmse_log_points,n_components,share_products_repriced,share_single_obs_products,median_obs_per_day,index_cv,flag_flat_index,flag_disconnected,flag_volatile_index,flag_sparse_days,flag_many_single_obs
20,2158,82,57,0.9993837096003868,0.0148231174622956,1,0.07317073170731707,0.036585365853658534,34.0,0.00531432429070987,False,False,False,False,False
21,659,60,56,1.0,2.8128715331864033e-15,1,0.0,0.18333333333333332,9.5,1.6427742294174279e-15,True,False,False,False,False
22,1053,99,48,0.998279257015688,0.0300270465021822,1,0.45454545454545453,0.15151515151515152,17.0,0.05200248819855108,False,False,False,False,False
23,240,46,40,1.0,8.309515168807946e-15,1,0.0,0.2608695652173913,5.0,8.272519760475604e-15,True,False,False,False,True
24,1064,82,54,0.9978703185792622,0.0327319827692178,1,0.5121951219512195,0.14634146341463414,18.5,0.03473146438567855,False,False,False,False,False
25,328,57,55,1.0,2.886508261042641e-15,1,0.0,0.21052631578947367,5.0,1.797357793277465e-15,True,False,False,False,False
26,896,36,47,0.9999816108493408,0.0013961356342401,1,0.027777777777777776,0.05555555555555555,18.0,0.00026294361101616244,False,False,False,False,False
27,345,49,46,1.0,3.936528656281749e-15,1,0.0,0.1836734693877551,6.5,2.761038057611009e-15,True,False,False,False,False
28,258,41,34,0.9965376286749014,0.0276855159285328,1,0.34146341463414637,0.07317073170731707,6.0,0.03195884713732446,False,False,False,False,False
29,250,59,48,0.999737210070822,0.0087137676840862,1,0.03389830508474576,0.2542372881355932,5.0,0.008251368076007464,False,False,False,False,True
30,361,30,37,0.9995964836870364,0.0080017869212896,1,0.1,0.03333333333333333,8.0,0.006252105354987714,False,False,False,False,False
31,1116,91,56,1.0,3.7485926145853904e-15,1,0.0,0.1978021978021978,16.0,1.7271211480258943e-15,True,False,False,False,False
32,395,65,45,1.0,3.4933513215965227e-15,1,0.0,0.15384615384615385,8.0,2.159259945390842e-15,True,False,False,False,False
33,639,41,56,1.0,4.695569220769885e-15,1,0.0,0.07317073170731707,12.0,1.7338531224848535e-15,True,False,False,False,False
34,1801,43,56,1.0,1.786758624872169e-15,1,0.0,0.023255813953488372,29.5,1.169812595733226e-15,True,False,False,False,False
35,407,52,36,1.0,3.673035965709986e-15,1,0.0,0.15384615384615385,9.5,1.8972852260254476e-15,True,False,False,False,False
36,1002,124,56,0.9971027520862475,0.0382298800349563,1,0.016129032258064516,0.20161290322580644,16.0,0.029108634457482387,False,False,False,False,False
37,508,81,54,0.9965394714172316,0.0345222573544267,1,0.037037037037037035,0.25925925925925924,9.0,0.024147679908013794,False,False,False,False,True
38,235,52,42,0.9998913360129488,0.0090995596800495,1,0.019230769230769232,0.34615384615384615,4.5,0.006242899881195387,False,False,False,True,True
39,267,64,46,0.999812360193826,0.0104736251158236,2,0.078125,0.28125,5.0,0.01583131137762672,False,True,False,False,True
40,1506,79,56,0.9630375409741418,0.1328983371243113,1,0.25316455696202533,0.0759493670886076,27.5,0.10246583973961267,False,False,False,False,False
41,549,70,52,1.0,3.3790301573515904e-15,1,0.0,0.2,9.0,1.805464284779453e-15,True,False,False,False,False
42,302,70,37,1.0,2.8583585865864218e-15,1,0.0,0.2714285714285714,7.0,2.6900203903244583e-15,True,False,False,False,True
43,217,38,23,1.0,3.830616062739991e-15,1,0.0,0.13157894736842105,7.0,2.21479903478427e-15,True,False,False,False,False
44,277,80,51,1.0,3.8672249306345215e-15,1,0.0,0.425,5.0,2.2500081037285526e-15,True,False,False,False,True
45,584,65,53,1.0,3.613033552586791e-15,1,0.0,0.24615384615384617,9.0,2.1767200854831008e-15,True,False,False,False,False
46,625,38,45,1.0,5.037794268668462e-15,1,0.0,0.23684210526315788,12.0,1.4949862656471402e-15,True,False,False,False,False
47,470,71,42,1.0,4.8187795589256265e-15,1,0.0,0.16901408450704225,11.0,3.0277433168122355e-15,True,False,False,False,False
48,858,31,52,1.0,5.637987706687299e-15,1,0.0,0.0,16.0,4.030493200405199e-15,True,False,False,False,False
49,3043,96,56,0.9998045842355466,0.0086226427507565,1,0.4270833333333333,0.125,44.0,0.010506443955620661,False,False,False,False,False
50,294,53,41,0.999452564695196,0.0117813782704545,1,0.41509433962264153,0.3018867924528302,5.0,0.026172430252918443,False,False,False,False,True
